"","outcome","term","estimate"
"1","ipv_control_2pl_irt_index_w","girlfriend_m_c",0.177524415474511
"2","ipv_control_2pl_irt_index_w","phys_sex_prechr2018_2pl_index_w_c",0.00265131760705724
"3","ipv_control_2pl_irt_index_w","emo_prechr2018_2pl_index_w_c",0.125248202168206
"4","emo_violence_2pl_index_w","phys_sex_prechr2018_2pl_index_w_c",0.0866329064229226
"5","emo_violence_2pl_index_w","emo_prechr2018_2pl_index_w_c",0.204567777444416
"6","dm_index_m","age_m_c",0.0231397986206636
"7","dm_index_m","lighting_bl_c",0.0348946691645168
"8","goodfeeling_index_m","age_w_c",0.112126424761534
"9","goodfeeling_index_m","toilet_bl_c",0.00143649478385444
"10","goodfeeling_index_m","drinkingwater_bl_c",0.00144336782963564
"11","goodfeeling_index_m","ta_nominations_bl_c",0.0676925422856656
"12","commfreq_index_m","married_m_c",0.138462009391914
"13","commfreq_index_m","married_multiple_m_c",0.285489174857923
"14","commfreq_index_m","own_bicycle_bl_c",6.50318827804451
"15","commfreq_index_m","leaderTA_bl_c",0.185933795549495
"16","coupleenjoy_index_m","married_m_c",0.607171843444681
"17","coupleenjoy_index_m","toilet_bl_c",0.0265355061184963
"18","coupleenjoy_index_m","ownhouse_bl_c",1.23087334602623
"19","coupleenjoy_index_m","own_books_bl_c",0.000717418861007912
"20","coupleenjoy_index_m","cookingfuel_bl_c",0.0176012548853574
"21","coupleenjoy_index_m","floor_bl_c",0.0129831691066756
"22","coupleenjoy_index_m","emo_prechr2018_2pl_index_w_c",0.340179238346335
"23","easeconflictresolve_index_m","religion_bl_c",0.102056502885437
"24","easeconflictresolve_index_m","own_motorcycle_bl_c",1.27227382010515
"25","easeconflictresolve_index_m","roof_bl_c",0.739077549555298
"26","easeconflictresolve_index_m","ta_nominations_bl_c",0.0696991329006441
"27","easeconflictresolve_index_m","phys_sex_prechr2018_2pl_index_w_c",0.309690666211138
"28","womanresolve_index_m","religion_bl_c",0.455881469550332
"29","womanresolve_index_m","own_computer_bl_c",2.70989770307017
"30","womanresolve_index_m","own_vehicle_bl_c",4.43743659463371
"31","nosex_index_w","age_w_c",0.00427387670270148
"32","nosex_index_w","walls_bl_c",0.0834224904121197
"33","nosex_index_w","roof_bl_c",0.281310590593058
"34","nosex_index_w","dwelling_units_bl_c",0.00164212543379657
"35","nosex_index_w","wealth_assessment_bl_c",0.0202131615639707
"36","nosex_index_w","ta_hasnomination_bl_c",0.878172780407759
"37","nosex_index_w","ta_nominations_bl_c",0.0388760129953829
"38","nosex_index_w","ta_ipv_nominations_bl_c",0.013451241380961
"39","nosex_index_w","expend_food_USD_bl_c",0.00365572722065553
"40","otherbeliefs_index_w","expend_food_USD_bl_c",0.0134805969513723
"41","dm_index_w","engaged_m_c",1.99466224103238
"42","dm_index_w","resp_surveyed_bl_c",0.107552448749507
"43","dm_index_w","own_books_bl_c",0.501056009812498
"44","dm_index_w","own_tv_bl_c",0.674822034947922
"45","dm_index_w","mealsperday_bl_c",0.889836546068721
"46","goodtalk_index_w","literacy_score_m_c",0.381016474894408
"47","goodtalk_index_w","rooms_bl_c",0.341147968201844
"48","goodtalk_index_w","own_chairs_bl_c",0.185143940116809
"49","goodtalk_index_w","own_beds_bl_c",0.845460266845171
"50","goodtalk_index_w","own_bicycle_bl_c",7.96280199692546
"51","goodtalk_index_w","ta_ipv_hasnomination_bl_c",0.195727073260878
"52","commfreq_index_w","literacy_score_m_c",0.195440527742986
"53","commfreq_index_w","engaged_m_c",0.644301042036336
"54","commfreq_index_w","years_in_community_bl_c",0.177526208189433
"55","commfreq_index_w","own_beds_bl_c",1.44014191359073
"56","commfreq_index_w","roof_bl_c",3.69963171685158
"57","easeconflictresolve_index_w","own_books_bl_c",0.140040932616784
"58","easeconflictresolve_index_w","own_tv_bl_c",0.11137016284834
"59","easeconflictresolve_index_w","mealsperday_bl_c",0.0150719478821979
"60","easeconflictresolve_index_w","expend_clothing_USD_bl_c",0.0130240955928487
"61","dem_charity_m","resp_surveyed_bl_c",0.0717565538545408
"62","dem_charity_m","toilet_bl_c",1.5463279108114e-05
"63","dem_charity_m","cookingfuel_bl_c",0.00352263348824837
"64","dem_charity_m","mealsperday_bl_c",0.0295102541787972
"65","dem_charity_w","engaged_m_c",0.230380449170024
"66","dem_charity_w","rooms_bl_c",0.0276047580886136
"67","dem_charity_w","own_vehicle_bl_c",0.753528112723379
"68","dem_charity_w","own_refrigerator_bl_c",0.310424810946
"69","dem_charity_w","expend_clothing_USD_bl_c",0.00044678555199205
"70","dem_neighb_w","own_bicycle_bl_c",0.23227094048144
"71","dem_neighb_w","own_vehicle_bl_c",6.05568227355672
